date,homeTeamId,awayTeamId,home_racha_5,away_racha_5,homeTeamWinner
2024-01-23 01:20:00,5485,5488,0,0,False
2024-01-23 20:00:00,20304,18212,3,0,False
2024-01-23 21:30:00,5584,21316,0,3,False
2024-01-23 22:30:00,9169,2026,3,3,False
2024-01-23 23:00:00,20308,20307,3,0,False
2024-01-23 23:00:00,7388,20899,3,0,True
2024-01-23 23:30:00,4820,2675,0,0,False
2024-01-24 00:30:00,18128,10281,3,0,False
2024-01-24 12:00:00,977,817,0,0,False
2024-01-24 16:45:00,793,104,0,0,False
2024-01-24 19:00:00,10265,6087,0,3,False
2024-01-24 20:00:00,20303,18218,3,0,True
2024-01-24 21:30:00,7465,7385,3,0,False
2024-01-24 22:00:00,6270,21369,3,0,True
2024-01-24 22:00:00,4910,2022,0,0,False
2024-01-24 22:00:00,17339,9460,0,0,False
2024-01-24 22:00:00,18134,20855,3,0,True
2024-01-24 22:00:00,7391,1936,3,3,False
2024-01-24 22:00:00,4935,17131,3,3,False
2024-01-24 22:30:00,4773,6079,3,0,False
2024-01-24 22:30:00,4774,874,0,3,True
2024-01-24 23:00:00,10266,17134,0,0,False
2024-01-24 23:00:00,20851,4905,0,0,True
2024-01-24 23:00:00,20305,18232,3,0,False
2024-01-24 23:30:00,2670,5583,3,3,True
2024-01-24 23:30:00,18396,22142,0,0,False
2024-01-25 00:30:00,18900,7632,0,0,True
2024-01-25 00:30:00,3448,11268,0,3,False
2024-01-25 00:30:00,900,6086,3,6,True
2024-01-25 00:30:00,6273,7389,0,0,True
2024-01-25 00:35:00,2029,18963,3,0,True
2024-01-25 01:00:00,5484,4815,3,6,True
2024-01-25 21:30:00,6097,7466,0,0,True
2024-01-25 22:00:00,6154,20852,0,0,True
2024-01-25 22:00:00,7767,10158,0,0,False
2024-01-25 22:00:00,2975,17702,0,0,False
2024-01-25 22:30:00,2674,3459,3,0,True
2024-01-25 22:45:00,8,22166,0,0,True
2024-01-25 23:10:00,4928,9773,3,0,True
2024-01-25 23:30:00,21313,2671,3,3,False
2024-01-26 00:00:00,17720,18127,0,0,False
2024-01-26 00:15:00,11989,14,0,0,False
2024-01-26 00:15:00,9785,17,0,0,False
2024-01-26 00:30:00,3454,4786,6,3,True
2024-01-26 00:30:00,15502,3445,0,6,False
2024-01-26 01:20:00,9762,2919,3,3,True
2024-01-26 20:00:00,20304,20308,3,3,False
2024-01-26 20:00:00,10122,21819,0,0,True
2024-01-26 21:00:00,10060,21,0,0,False
2024-01-26 22:00:00,19,9,0,0,False
2024-01-26 23:00:00,18212,18209,3,0,True
2024-01-26 23:10:00,5485,5489,0,0,False
2024-01-27 00:00:00,7312,11995,0,0,False
2024-01-27 00:15:00,9744,11,0,0,False
2024-01-27 00:15:00,235,10,0,0,False
2024-01-27 01:20:00,9761,2672,0,3,False
2024-01-27 13:00:00,2790,9659,3,0,False
2024-01-27 19:00:00,20899,21369,0,0,False
2024-01-27 19:00:00,17131,7391,6,3,False
2024-01-27 19:00:00,6086,20855,6,0,True
